id,order_id,dish_id,dish_name_snapshot,quantity,unit_price_vnd,subtotal_vnd,notes
128,44,5,Bánh kem dâu tươi,3,320000,960000,
129,44,8,Macaron pastel,1,25000,25000,
130,44,11,Bánh kem sinh nhật 16cm,2,380000,760000,
131,45,9,Bánh bông lan trứng muối,3,165000,495000,
132,45,12,Bánh kem sinh nhật 20cm,1,520000,520000,
133,45,15,Bánh mì baguette,2,32000,64000,
134,45,18,Bánh kem matcha,3,360000,1080000,
135,45,21,Bánh mousse xoài,1,110000,110000,
136,46,16,Bánh donut socola,1,28000,28000,
137,47,23,Cheesecake matcha,2,95000,190000,
138,47,26,Cookie chocolate chip,3,12000,36000,
139,48,30,Pretzel mềm,3,35000,105000,
140,48,33,Roll cake socola,1,145000,145000,
141,48,36,Bánh kem fondant,2,580000,1160000,
142,49,37,Bánh tart chanh,1,38000,38000,
143,49,40,Mini cupcake set 6,2,165000,330000,
144,49,43,Bánh mì sandwich tuna,3,42000,126000,
145,49,46,Bánh kem mousse trà xanh,1,360000,360000,
146,50,44,Bánh mì sandwich phô mai,2,38000,76000,
147,50,47,Bánh kem rau câu,3,280000,840000,
148,50,50,Bánh kem cốm,1,320000,320000,
149,50,53,Bánh chuối hấp,2,22000,44000,
150,50,56,Bánh patê chaud,3,28000,84000,
151,51,51,Bánh kem dừa,3,280000,840000,
152,52,58,Cà phê sữa đá,1,30000,30000,
153,52,1,Bánh mì hoa cúc,2,65000,130000,
154,53,5,Bánh kem dâu tươi,2,320000,640000,
155,53,8,Macaron pastel,3,25000,75000,
156,53,11,Bánh kem sinh nhật 16cm,1,380000,380000,
157,54,12,Bánh kem sinh nhật 20cm,3,520000,1560000,
158,54,15,Bánh mì baguette,1,32000,32000,
159,54,18,Bánh kem matcha,2,360000,720000,
160,54,21,Bánh mousse xoài,3,110000,330000,
161,55,19,Bánh kem socola,1,350000,350000,
162,55,22,Cheesecake New York,2,95000,190000,
163,55,25,Bánh chuối nướng,3,85000,255000,
164,55,28,Bánh quy bơ,1,8000,8000,
165,55,31,Bánh quy hạnh nhân,2,14000,28000,
166,56,26,Cookie chocolate chip,2,12000,24000,
167,57,33,Roll cake socola,3,145000,435000,
168,57,36,Bánh kem fondant,1,580000,580000,
169,58,40,Mini cupcake set 6,1,165000,165000,
170,58,43,Bánh mì sandwich tuna,2,42000,84000,
171,58,46,Bánh kem mousse trà xanh,3,360000,1080000,
172,59,47,Bánh kem rau câu,2,280000,560000,
173,59,50,Bánh kem cốm,3,320000,960000,
174,59,53,Bánh chuối hấp,1,22000,22000,
175,59,56,Bánh patê chaud,2,28000,56000,
176,60,54,Bánh khoai mì nướng,3,28000,84000,
177,60,57,Cà phê đen đá,1,25000,25000,
178,60,60,Trà sữa,2,38000,76000,
179,60,3,Tart trứng nướng,3,22000,66000,
180,60,6,Tiramisu Ý,1,95000,95000,
