id,name_vi,name_en,category,price_vnd,size,description_vi,image_url,is_active,retired_at,display_order,allergens
50,Bánh kem cốm,,cake,320000,16cm,Bánh kem cốm — đặc sản tiệm Ngọt.,,TRUE,,50,"[""gluten"", ""dairy"", ""egg""]"
51,Bánh kem dừa,,cake,280000,16cm,Bánh kem dừa — đặc sản tiệm Ngọt.,,TRUE,,51,"[""gluten"", ""dairy"", ""egg""]"
52,Bánh xèo ngọt,,pastry,25000,1 cái,"Bánh xèo ngọt, làm trong ngày.",,TRUE,,52,"[""gluten"", ""egg""]"
53,Bánh chuối hấp,,pastry,22000,1 phần,"Bánh chuối hấp, làm trong ngày.",,TRUE,,53,"[""gluten""]"
54,Bánh khoai mì nướng,,pastry,28000,1 phần,"Bánh khoai mì nướng, làm trong ngày.",,TRUE,,54,"[""gluten"", ""dairy"", ""egg""]"
55,Bánh bao ngọt,,bread,18000,1 cái,"Bánh bao ngọt, làm trong ngày.",,TRUE,,55,"[""gluten"", ""dairy""]"
56,Bánh patê chaud,,pastry,28000,1 cái,"Bánh patê chaud, làm trong ngày.",,TRUE,,56,"[""gluten"", ""dairy"", ""egg""]"
57,Cà phê đen đá,,drink,25000,1 ly,"Cà phê đen đá, làm trong ngày.",,TRUE,,57,[]
58,Cà phê sữa đá,,drink,30000,1 ly,"Cà phê sữa đá, làm trong ngày.",,TRUE,,58,"[""dairy""]"
59,Trà đào,,drink,35000,1 ly,"Trà đào, làm trong ngày.",,TRUE,,59,[]
60,Trà sữa,,drink,38000,1 ly,"Trà sữa, làm trong ngày.",,FALSE,2026-04-21T09:00:00,60,"[""dairy""]"
